City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,stephenville,32.2207,-98.2023,44.19,94,100,14.97,US,1698608524
351,roma,43.2128,-75.4557,46.58,94,100,5.75,US,1698608524
352,port alfred,-33.5906,26.891,57.18,70,100,1.01,ZA,1698608525
353,gadzhiyevo,69.2551,33.3362,19.6,91,100,4.56,RU,1698608525
354,qamdo,31.1667,97.2333,26.76,36,100,3.6,CN,1698608526
355,cabo san lucas,22.8909,-109.9124,87.62,57,0,9.22,MX,1698608240
356,brookings,44.3114,-96.7984,35.38,59,0,17.27,US,1698608526
357,cockburn town,21.4612,-71.1419,82.54,79,20,4.21,TC,1698608454
358,coyhaique,-45.5752,-72.0662,41.61,75,75,6.91,CL,1698608527
359,illizi,26.4833,8.4667,84.0,17,10,5.95,DZ,1698608528
360,kili,5.6439,169.1211,82.36,77,29,10.42,MH,1698608528
361,nagqu,31.5,92.0,24.69,83,100,4.27,CN,1698608528
362,moree,-29.4667,149.85,61.2,59,0,13.76,AU,1698608529
